Elec Peak Const,Most Probable Value Elec (ns),Sigma Elec (Multiplier),Gamma Peak Const,Most Probable Value Gamm (ns),Sigma Gamma (Multiplier),Corrected Height Electron,Corrected Height Gamma,
11844.6,-122.875,66.288,-4273.04,0,96.3189,2118.46,-764.251,
2486.91,20.1176,18.4581,110.145,3774.08,22.7542,444.793,19.6998,
2270.3,5.88875,4.07075,1689.05,42.4997,19.3593,406.053,302.094,
2493.01,19.9958,18.0801,99.2634,4602.65,26.8435,445.886,17.7537,
2437.4,18.6978,18.9022,140.279,1312.42,17.091,435.939,25.0895,
2524.2,19.9117,18.4489,121.35,21159.6,22.9088,451.464,21.704,
2444.26,19.9603,18.5244,14.8664,7197.9,674.384,437.167,2.65893,
1943.39,20.5442,19.0928,121.051,1043.46,19.3908,347.583,21.6505,
2498.01,19.4212,18.6777,101.425,3254.62,22.6876,446.779,18.1402,
2444.45,20.9248,19.1822,166.954,633.086,6.9843,437.2,29.8605,
2411.42,20.8846,18.8139,108.979,7725.15,23.9579,431.292,19.4913,
2479.18,20.9761,18.4337,119.985,5810.93,23.4156,443.412,21.4599,
2554.6,19.6183,18.3131,166.039,3539.08,9.76486,456.901,29.6968,
2435.28,20.0986,18.7114,135.326,4237.53,21.3984,435.56,24.2035,
2536.45,19.5053,17.9483,117.554,9987.25,20.1408,453.654,21.0251,
2533.26,20.1292,18.4802,118.099,3522.22,22.9376,453.084,21.1225,
2500.13,18.6383,19.2183,154.876,458.392,7.47828,447.158,27.7003,
2077.53,18.9494,17.2109,185.145,152.917,9.39032,371.574,33.1139,
-1.63588e+06,-15.8692,-19.702,1156.9,72.5442,26.0004,-0,206.917,
2446.76,21.9848,18.5349,92.1004,2767.71,26.5022,437.612,16.4725,
2495.93,21.6432,18.2659,103.305,2508.71,25.7688,446.408,18.4766,
2506.26,19.609,17.9647,116.402,7612.28,22.5249,448.255,20.8191,
2485.23,20.7428,18.6541,103.426,5674.85,22.722,444.494,18.4982,
162.587,-1.30253,-43.7529,37.5591,72.731,38.7212,0,6.7176,
2474.29,20.2739,18.7814,111.777,4510.2,24.9798,442.537,19.9918,
2669.62,14.4719,12.2173,643.119,82.6089,19.0318,477.472,115.025,
1146.62,18.4293,19.0306,126.307,27739.9,14.5141,205.078,22.5906,
2505.3,20.6149,18.285,199.829,6466.67,6.49417,448.083,35.7403,
2424.95,21.8211,18.4065,108.785,6002.48,23.2592,433.713,19.4566,
2494.24,20.3617,18.4913,124.315,1989.08,19.6195,446.105,22.2342,
2496.91,19.175,18.1601,92.4121,4917.27,27.0033,446.583,16.5283,
2475.97,20.2419,18.5236,116.791,2004.98,22.6961,442.837,20.8886,
2491.73,20.2521,18.923,107.088,1284.45,21.9216,445.657,19.1532,
2512.13,19.77,18.4221,115.843,1132.05,20.3356,449.305,20.7189,
2389.33,21.9941,18.5165,124.652,4957.58,19.1244,427.341,22.2945,
2400.11,21.3079,18.5505,102.157,5136.72,27.0836,429.27,18.2712,
2458.18,20.8112,18.6376,104.222,3759.57,25.4202,439.656,18.6406,
2512.73,19.6807,18.2913,126.426,9612.71,21.6566,449.412,22.6118,
